,t,u,y
375,3.7537537537537538,-6.0,-6.1251272638527245
376,3.7637637637637638,-6.0,-6.142197418612398
377,3.7737737737737738,-6.0,-6.157764483154655
378,3.7837837837837838,-6.0,-6.1718927074723515
379,3.793793793793794,-6.0,-6.184644048690681
380,3.803803803803804,-6.0,-6.1960782466706785
381,3.813813813813814,-6.0,-6.20625289722205
382,3.823823823823824,-6.0,-6.215223522999112
383,3.833833833833834,-6.0,-6.223043642151369
384,3.843843843843844,-6.0,-6.2297648347980665
385,3.853853853853854,-6.0,-6.235436807394012
386,3.863863863863864,-6.0,-6.240107455051832
387,3.873873873873874,-6.0,-6.2438229218839005
388,3.883883883883884,-6.0,-6.24662765942523
389,3.893893893893894,-6.0,-6.248564483196733
390,3.903903903903904,-6.0,-6.249674627466511
391,3.913913913913914,-6.0,-6.249997798264984
392,3.923923923923924,-6.0,-6.249572224708045
393,3.933933933933934,-6.0,-6.248434708680737
394,3.943943943943944,-16.0,-6.4422695347488546
395,3.953953953953954,-16.0,-6.922704005801817
396,3.963963963963964,-16.0,-7.383443572975234
397,3.973973973973974,-16.0,-7.825179539429712
398,3.983983983983984,-16.0,-8.248580603402058
399,3.993993993993994,-16.0,-8.654293569628601
400,4.004004004004004,-16.0,-9.04294403887577
401,4.014014014014014,-16.0,-9.415137076242571
402,4.024024024024024,-16.0,-9.771457858879453
403,4.034034034034034,-16.0,-10.112472303748419
404,4.044044044044044,-16.0,-10.43872767603071
405,4.054054054054054,-16.0,-10.75075317877016
406,4.064064064064064,-16.0,-11.049060524322355
407,4.074074074074074,-16.0,-11.33414448816281
408,4.084084084084084,-16.0,-11.606483445590609
409,4.094094094094094,-16.0,-11.866539891847804
410,4.104104104104104,-25.0,-12.297936934551448
411,4.114114114114114,-25.0,-12.969077066460452
412,4.124124124124124,-25.0,-13.612064761393231
413,4.134134134134134,-25.0,-14.227897338124617
414,4.1441441441441444,-25.0,-14.817539351227225
415,4.1541541541541545,-25.0,-15.381923624969392
416,4.1641641641641645,-25.0,-15.921952255345918
417,4.1741741741741745,-25.0,-16.438497581209834
418,4.1841841841841845,-25.0,-16.932403125444118
419,4.1941941941941945,-25.0,-17.404484507084046
420,4.2042042042042045,-25.0,-17.855530325273623
421,4.2142142142142145,-25.0,-18.286303015912484
422,4.2242242242242245,-25.0,-18.697539681824523
